Date,Symbol,NBars1min,RV_1min,BPV_1min,NBars_1min,RV_5min,BPV_5min,NBars_5min,RV_10min,BPV_10min,NBars_10min,RV_15min,BPV_15min,NBars_15min,RV_30min,BPV_30min,NBars_30min,RVol_5min,LogRV_5min,Open_sess,Close_sess,High_sess,Low_sess,CloseToClose_LogRet,Overnight_LogRet
2014-07-11,UKX,510,0.0000196024,0.0000185259,510,0.0000177072,0.0000151475,102,0.0000153747,0.0000153575,51,0.0000126548,0.0000158338,34,0.0000097771,0.0000091909,17,0.0042079951,-10.9415379377,6681.9970000000,6677.7980000000,6695.9950000000,6662.2970000000,0.0008990536,0.0015276560
2014-07-14,UKX,510,0.0000213942,0.0000221399,510,0.0000188476,0.0000167709,102,0.0000183115,0.0000177179,51,0.0000135972,0.0000111202,34,0.0000168862,0.0000080554,17,0.0043413880,-10.8791223245,6709.8980000000,6749.2980000000,6760.7980000000,6700.7970000000,0.0106502070,0.0047954572
2014-07-15,UKX,510,0.0000342573,0.0000305236,510,0.0000353964,0.0000273630,102,0.0000318681,0.0000250111,51,0.0000280642,0.0000277593,34,0.0000236102,0.0000269265,17,0.0059494837,-10.2489016606,6734.2970000000,6720.2970000000,6762.7970000000,6707.9970000000,-0.0043061495,-0.0022250752
2014-07-16,UKX,510,0.0000250205,0.0000252503,510,0.0000242031,0.0000172080,102,0.0000230355,0.0000167773,51,0.0000166421,0.0000152263,34,0.0000203146,0.0000185367,17,0.0049196683,-10.6290283589,6724.3970000000,6785.3980000000,6792.8980000000,6710.5400000000,0.0096406004,0.0006099061
2014-07-17,UKX,510,0.0000273862,0.0000258346,510,0.0000221860,0.0000212598,102,0.0000280853,0.0000272343,51,0.0000303011,0.0000291999,34,0.0000435974,0.0000198924,17,0.0047101972,-10.7160509934,6760.3980000000,6733.8970000000,6775.9290000000,6726.3970000000,-0.0076189253,-0.0036911863
2014-07-18,UKX,509,0.0000279849,0.0000265982,509,0.0000172345,0.0000172802,102,0.0000203859,0.0000189340,51,0.0000157547,0.0000102264,34,0.0000197634,0.0000157596,17,0.0041514425,-10.9685988323,6713.8980000000,6744.7970000000,6750.2980000000,6688.9980000000,0.0016173677,-0.0029743188
2014-07-21,UKX,471,0.0000216671,0.0000192051,471,0.0000191759,0.0000153351,95,0.0000163185,0.0000182136,48,0.0000172757,0.0000173113,32,0.0000116233,0.0000098588,17,0.0043790300,-10.8618560942,6747.7980000000,6734.7980000000,6754.7970000000,6714.7970000000,-0.0014835760,0.0004448366
2014-07-22,UKX,509,0.0000169295,0.0000160912,509,0.0000122128,0.0000114146,102,0.0000108934,0.0000071102,51,0.0000101267,0.0000089769,34,0.0000088753,0.0000074375,17,0.0034946782,-11.3130279494,6752.2970000000,6795.7970000000,6801.7980000000,6751.9970000000,0.0090165160,0.0025949265
2014-07-23,UKX,510,0.0000205699,0.0000180538,510,0.0000189672,0.0000162645,102,0.0000147627,0.0000140701,51,0.0000164430,0.0000153209,34,0.0000112975,0.0000113858,17,0.0043551325,-10.8728004989,6777.6970000000,6794.9980000000,6822.7980000000,6773.2970000000,-0.0001175796,-0.0026669641
2014-07-24,UKX,507,0.0000217242,0.0000185548,507,0.0000228867,0.0000195524,102,0.0000173311,0.0000165893,51,0.0000221538,0.0000204739,34,0.0000197459,0.0000215205,17,0.0047840009,-10.6849561375,6793.7970000000,6815.9970000000,6819.9970000000,6764.9980000000,0.0030855961,-0.0001767633
