Date,Symbol,RV_1min,RS_pos_1min,RS_neg_1min,SignedJump_1min,BPV_1min,BPV_c_1min,MedRV_1min,RQ_1min,TQ_1min,RSkew_1min,RKurt_1min,NBars_1min,NZeroRet_1min,MaxAbsRet_1min,RV_5min,RS_pos_5min,RS_neg_5min,SignedJump_5min,BPV_5min,BPV_c_5min,MedRV_5min,RQ_5min,TQ_5min,RSkew_5min,RKurt_5min,NBars_5min,NZeroRet_5min,MaxAbsRet_5min,RV_ss5min,Jump_BPV_5min,Jump_MedRV_5min,ContVar_MedRV_5min,JumpShare_5min,RSV_Ratio_5min,RV_SE_5min,RV_RelSE_5min,NoiseRatio_1v5
2017-02-28,DAX,2.18377603268e-05,1.10697472578e-05,1.0768013069e-05,3.01734188805e-07,2.23544696115e-05,2.23984744729e-05,2.04357617882e-05,7.64102962737e-10,6.8328544143e-10,0.168925108747,4.80680991029,509,2,0.00107496268687,1.49470394218e-05,8.49709824428e-06,6.44994117747e-06,2.04715706681e-06,1.44862539478e-05,1.46311164873e-05,1.46464051519e-05,2.79582565682e-10,2.09103556915e-10,0.396496787299,3.75423090794,101,0,0.00124387689828,1.49470394218e-05,3.15922934486e-07,3.00634269834e-07,1.46464051519e-05,0.0201132987845,0.431519647167,2.35293187945e-06,0.157417921574,1.46100908084
2017-03-01,DAX,2.63171686316e-05,1.62479104655e-05,1.00692581661e-05,6.17865229932e-06,2.61220230939e-05,2.61734443992e-05,2.46309653672e-05,1.65152119175e-09,1.49900314321e-09,0.879190772786,7.1536399671,509,7,0.00137557607175,2.4845551327e-05,1.52732818335e-05,9.57226949344e-06,5.70101234011e-06,2.45313171208e-05,2.4776630292e-05,2.2240990651e-05,8.54477268847e-10,8.50934871621e-10,0.127168534856,4.15264200018,101,0,0.00163788531681,2.4845551327e-05,6.8921034988e-08,2.60456067595e-06,2.2240990651e-05,0.104830061594,0.385270963299,4.11343432637e-06,0.165560195153,1.05923061578
2017-03-02,DAX,1.54799958809e-05,6.9435255091e-06,8.53647037177e-06,-1.59294486268e-06,1.44273830015e-05,1.44557833617e-05,1.41762281641e-05,6.50797558908e-10,3.55256290684e-10,-0.656711946264,8.14752099802,509,3,0.00116142971764,1.1760196519e-05,6.10197255727e-06,5.65822396172e-06,4.43748595553e-07,1.21498535343e-05,1.22713520697e-05,1.14353156714e-05,2.19291075981e-10,3.0118191295e-10,-0.00703732914261,4.75677988135,101,0,0.00128160853958,1.1760196519e-05,0,3.24880847551e-07,1.14353156714e-05,0.0276254607673,0.481133453219,2.08384201517e-06,0.177194489208,1.31630418385
2017-03-03,DAX,2.31436814613e-05,1.20575175567e-05,1.10861639046e-05,9.71353652166e-07,2.25728186742e-05,2.26172533566e-05,2.17712507029e-05,6.71235987603e-10,5.09879844957e-10,0.0989488909364,3.75951308638,509,1,0.000777725366897,1.891213325e-05,1.11854170816e-05,7.7267161684e-06,3.45870091325e-06,1.89599202046e-05,1.91495194067e-05,1.80911509763e-05,3.42841355698e-10,3.5107183933e-10,0.477251578725,2.87563274434,101,0,0.00124934528398,1.891213325e-05,0,8.20982273744e-07,1.80911509763e-05,0.0434103473621,0.408558678508,2.60555900655e-06,0.137771819398,1.22374780017
2017-03-06,DAX,2.45598270959e-05,1.33029084813e-05,1.12569186145e-05,2.04598986679e-06,2.33429414573e-05,2.33888921294e-05,2.23722069145e-05,1.38541071574e-09,8.00423383298e-10,0.385030292365,6.89047540986,509,0,0.00130413079506,2.67762992361e-05,1.44249346935e-05,1.23513645427e-05,2.0735701508e-06,2.08728722195e-05,2.10816009417e-05,2.23456764213e-05,1.54932456899e-09,6.47638653563e-10,0.27273950297,6.4827990088,101,0,0.00202468150819,2.67762992361e-05,5.69469829441e-06,4.43062281483e-06,2.23456764213e-05,0.165468079653,0.461279747203,5.53892538634e-06,0.20685925779,0.917222610911
2017-03-07,DAX,1.83538441877e-05,8.63709692012e-06,9.71674726762e-06,-1.0796503475e-06,1.80892575648e-05,1.81248663395e-05,1.7588114467e-05,6.04043439885e-10,6.03163982848e-10,-0.316967562707,5.37941866873,509,0,0.000880696628842,1.64531197022e-05,7.96830552157e-06,8.48481418066e-06,-5.16508659085e-07,1.60187657037e-05,1.61789533607e-05,1.3589658832e-05,3.36301884851e-10,3.79491073167e-10,-0.0471636666722,3.72695407622,101,0,0.00113129905661,1.64531197022e-05,2.74166341533e-07,2.86346087022e-06,1.3589658832e-05,0.174037563821,0.515696374561,2.58058971252e-06,0.156845009289,1.11552365265
2017-03-08,DAX,3.5805212849e-05,1.78789410734e-05,1.79262717757e-05,-4.73307022865e-08,3.58431279269e-05,3.59136852654e-05,3.50727704011e-05,5.66889698528e-09,7.93807147238e-09,-0.708897588192,13.2656122923,509,0,0.00207843563888,5.96470471789e-05,2.84738326126e-05,3.11732145663e-05,-2.69938195369e-06,2.9720317946e-05,3.00175211255e-05,1.79872530175e-05,2.21961945067e-08,1.08905295743e-09,-1.29799148032,18.7163810706,101,0,0.00477522708155,5.96470471789e-05,2.96295260534e-05,4.16597941614e-05,1.79872530175e-05,0.698438500006,0.522627959651,2.09649374932e-05,0.351483241581,0.600284750755
2017-03-09,DAX,4.29545363755e-05,2.5742092783e-05,1.72124435926e-05,8.52964919039e-06,3.6781250922e-05,3.68536549592e-05,3.4485009389e-05,5.58740590841e-09,2.22055701012e-09,1.1080893572,9.08475889092,509,0,0.00173640963874,3.51518079722e-05,2.12576733075e-05,1.38941346647e-05,7.36353864288e-06,3.42367508764e-05,3.45791183852e-05,3.67053882694e-05,2.10246190373e-09,2.38279370942e-09,0.684693472472,5.10450996159,101,0,0.00227822228025,3.51518079722e-05,5.72689586987e-07,0,3.51518079722e-05,0,0.395260883186,6.45235685504e-06,0.183556898699,1.22197232101
2017-03-10,DAX,3.46275929741e-05,1.45339902724e-05,2.00936027017e-05,-5.55961242932e-06,3.04381367024e-05,3.04980542943e-05,2.85546783502e-05,3.99114475704e-09,1.55585782216e-09,-0.907866510265,9.98559910777,509,0,0.00174325351734,3.08062717536e-05,9.57140222215e-06,2.12348695314e-05,-1.16634673093e-05,2.80885564658e-05,2.83694420305e-05,2.15985930085e-05,2.27649221756e-09,1.23054394315e-09,-1.52269528283,7.19629801788,101,0,0.00248740505201,3.08062717536e-05,2.43682972309e-06,9.20767874503e-06,2.15985930085e-05,0.298889746175,0.689303454221,6.71409367026e-06,0.217945674308,1.124043612
2017-03-13,DAX,1.7309318805e-05,9.93150702097e-06,7.37781178402e-06,2.55369523695e-06,1.66413968482e-05,1.66741555034e-05,1.572449227e-05,5.75906591653e-10,3.19606076608e-10,0.611094625901,5.7665139942,509,1,0.000985943698934,1.11051937485e-05,6.64842589168e-06,4.45676785679e-06,2.1916580349e-06,8.2756263417e-06,8.35838260511e-06,8.02646136254e-06,2.22647192709e-10,5.49343620721e-11,0.624434173301,5.41609406539,101,0,0.00129192282778,1.11051937485e-05,2.74681114336e-06,3.07873238593e-06,8.02646136254e-06,0.277233558969,0.401322836659,2.09972743497e-06,0.189076164048,1.55866878121
