Date,Symbol,NBars1min,RV_1min,BPV_1min,NBars_1min,RV_5min,BPV_5min,NBars_5min,RV_10min,BPV_10min,NBars_10min,RV_15min,BPV_15min,NBars_15min,RV_30min,BPV_30min,NBars_30min,RVol_5min,LogRV_5min,Open_sess,Close_sess,High_sess,Low_sess,CloseToClose_LogRet,Overnight_LogRet
2024-11-19,NDX,390,0.0000562221,0.0000592197,390,0.0000298548,0.0000289760,78,0.0000175821,0.0000184651,39,0.0000214230,0.0000203120,26,0.0000285077,0.0000330751,13,0.0054639563,-10.4191643142,20425.0190000000,20673.6860000000,20700.6760000000,20413.3430000000,0.0068165501,-0.0052845628
2024-11-20,NDX,390,0.0000726655,0.0000713847,390,0.0000847754,0.0000716603,78,0.0000965870,0.0000980316,39,0.0001026351,0.0001015645,26,0.0001466540,0.0001657778,13,0.0092073553,-9.3755052451,20661.5750000000,20669.7860000000,20680.7210000000,20388.3980000000,-0.0001886634,-0.0005859888
2024-11-21,NDX,390,0.0001351599,0.0001310813,390,0.0001894314,0.0001734322,78,0.0002117061,0.0002002142,39,0.0001308596,0.0001081563,26,0.0001566724,0.0001775148,13,0.0137634096,-8.5714833768,20790.9530000000,20735.9200000000,20821.2080000000,20431.8870000000,0.0031944417,0.0058449197
2024-11-22,NDX,390,0.0000723531,0.0000708105,390,0.0000666910,0.0000739755,78,0.0000517240,0.0000447390,39,0.0000700087,0.0000446625,26,0.0000704085,0.0000822214,13,0.0081664544,-9.6154408767,20708.6530000000,20769.7870000000,20801.0530000000,20645.8970000000,0.0016319205,-0.0013158299
2024-11-25,NDX,390,0.0000618469,0.0000524587,390,0.0000695510,0.0000589518,78,0.0000510079,0.0000586326,39,0.0000722421,0.0000618531,26,0.0000300629,0.0000331173,13,0.0083397248,-9.5734501278,20939.6190000000,20803.5870000000,21004.6970000000,20709.1430000000,0.0016260411,0.0081436278
2024-11-26,NDX,390,0.0000419831,0.0000400142,390,0.0000363279,0.0000350822,78,0.0000344738,0.0000342178,39,0.0000191470,0.0000195808,26,0.0000160902,0.0000162785,13,0.0060272605,-10.2229253570,20866.7530000000,20915.8210000000,20952.2080000000,20827.6200000000,0.0053804345,0.0030317030
2024-11-27,NDX,390,0.0000417619,0.0000360596,390,0.0000378130,0.0000374561,78,0.0000338000,0.0000406883,39,0.0000255220,0.0000276738,26,0.0000254554,0.0000193618,13,0.0061492308,-10.1828565551,20861.8750000000,20751.0980000000,20864.1210000000,20611.3890000000,-0.0079066973,-0.0025825278
2024-11-28,NDX,209,0.0000026861,0.0000024260,209,0.0000019709,0.0000021581,42,0.0000020532,0.0000016093,21,0.0000014480,0.0000014302,14,0.0000012207,0.0000015393,7,0.0014038874,-13.1370203152,20808.3210000000,20822.5100000000,20844.3990000000,20808.3210000000,0.0034354521,0.0027537938
2024-11-29,NDX,224,0.0000158774,0.0000160496,224,0.0000213392,0.0000187520,45,0.0000194402,0.0000215622,23,0.0000143792,0.0000143096,15,0.0000053721,0.0000036081,8,0.0046194329,-10.7549666661,20771.6530000000,20928.3080000000,20957.3890000000,20747.7650000000,0.0050680792,-0.0024453924
2024-12-02,NDX,390,0.0000261308,0.0000244202,390,0.0000260358,0.0000249952,78,0.0000169994,0.0000129647,39,0.0000210931,0.0000170384,26,0.0000157294,0.0000167946,13,0.0051025253,-10.5560394031,20985.2970000000,21157.1190000000,21199.8090000000,20969.7530000000,0.0108737523,0.0027193574
