Date,Symbol,NBars1min,RV_1min,BPV_1min,NBars_1min,RV_5min,BPV_5min,NBars_5min,RV_10min,BPV_10min,NBars_10min,RV_15min,BPV_15min,NBars_15min,RV_30min,BPV_30min,NBars_30min,RVol_5min,LogRV_5min,Open_sess,Close_sess,High_sess,Low_sess,CloseToClose_LogRet,Overnight_LogRet
2020-11-25,DAX,510,0.0000369457,0.0000313533,510,0.0000321089,0.0000317564,102,0.0000345472,0.0000272299,51,0.0000258669,0.0000188270,34,0.0000280920,0.0000246408,17,0.0056664674,-10.3463787805,13339.2890000000,13304.2990000000,13346.1990000000,13232.8990000000,0.0010544256,0.0036809502
2020-11-26,DAX,510,0.0000169332,0.0000172449,510,0.0000132867,0.0000152286,102,0.0000070442,0.0000080721,51,0.0000085297,0.0000080072,34,0.0000071664,0.0000079356,17,0.0036450894,-11.2287487762,13327.2990000000,13304.5010000000,13333.0990000000,13273.0990000000,0.0000151829,0.0017272719
2020-11-27,DAX,510,0.0000261596,0.0000259071,510,0.0000234249,0.0000205501,102,0.0000226879,0.0000156909,51,0.0000190337,0.0000143257,34,0.0000155033,0.0000141310,17,0.0048399312,-10.6617095385,13275.7880000000,13361.0490000000,13364.7790000000,13275.7880000000,0.0042412840,-0.0021604740
2020-11-30,DAX,509,0.0000547209,0.0000519301,509,0.0000629436,0.0000568903,102,0.0000538550,0.0000453327,51,0.0000882317,0.0000742470,34,0.0000463309,0.0000159895,17,0.0079337028,-9.6732708308,13291.5890000000,13331.5990000000,13447.2490000000,13253.7490000000,-0.0022066010,-0.0052122538
2020-12-01,DAX,510,0.0000377816,0.0000378469,510,0.0000370428,0.0000375568,102,0.0000231267,0.0000231427,51,0.0000414900,0.0000351738,34,0.0000194161,0.0000235188,17,0.0060862803,-10.2034363450,13388.0130000000,13398.0490000000,13435.3990000000,13334.2690000000,0.0049720174,0.0042226724
2020-12-02,DAX,509,0.0000355756,0.0000326436,509,0.0000428524,0.0000428447,102,0.0000330556,0.0000327300,51,0.0000179603,0.0000162092,34,0.0000117714,0.0000121419,17,0.0065461744,-10.0577489258,13351.0890000000,13310.6990000000,13359.7890000000,13270.2990000000,-0.0065409514,-0.0035111448
2020-12-03,DAX,510,0.0000288791,0.0000297117,510,0.0000187528,0.0000192805,102,0.0000138582,0.0000122634,51,0.0000154804,0.0000174056,34,0.0000143007,0.0000126172,17,0.0043304546,-10.8841655208,13299.3990000000,13261.8990000000,13323.2790000000,13221.7590000000,-0.0036729608,-0.0008493017
2020-12-04,DAX,510,0.0000336253,0.0000340584,510,0.0000313517,0.0000322259,102,0.0000370943,0.0000342664,51,0.0000223369,0.0000232216,34,0.0000246618,0.0000252037,17,0.0055992576,-10.3702425081,13230.0990000000,13284.5890000000,13317.3990000000,13220.0790000000,0.0017094544,-0.0024007261
2020-12-07,DAX,510,0.0000467168,0.0000437221,510,0.0000536667,0.0000480169,102,0.0000476681,0.0000336886,51,0.0000543533,0.0000434646,34,0.0000177253,0.0000176179,17,0.0073257578,-9.8327173440,13252.5870000000,13268.7790000000,13289.5490000000,13158.2590000000,-0.0011908095,-0.0024118629
2020-12-08,DAX,510,0.0000224955,0.0000218859,510,0.0000192407,0.0000176646,102,0.0000197436,0.0000222423,51,0.0000158848,0.0000176773,34,0.0000157780,0.0000145698,17,0.0043864203,-10.8584836299,13243.2790000000,13285.5890000000,13298.2990000000,13197.2990000000,0.0012660819,-0.0019236536
2020-12-09,DAX,510,0.0000504819,0.0000533764,510,0.0000369218,0.0000379109,102,0.0000472593,0.0000283602,51,0.0000491458,0.0000319018,34,0.0000217283,0.0000175550,17,0.0060763347,-10.2067072242,13339.6990000000,13358.7590000000,13458.0890000000,13325.2990000000,0.0054923606,0.0040645626
2020-12-10,DAX,510,0.0000547608,0.0000482366,510,0.0000524938,0.0000533360,102,0.0000543671,0.0000551330,51,0.0000550382,0.0000511181,34,0.0000832184,0.0000330750,17,0.0072452617,-9.8548151675,13336.5490000000,13303.5790000000,13371.6990000000,13210.5590000000,-0.0041391778,-0.0016639632
