Date,Symbol,RV_1min,RS_pos_1min,RS_neg_1min,SignedJump_1min,BPV_1min,BPV_c_1min,MedRV_1min,RQ_1min,TQ_1min,RSkew_1min,RKurt_1min,NBars_1min,NZeroRet_1min,MaxAbsRet_1min,RV_5min,RS_pos_5min,RS_neg_5min,SignedJump_5min,BPV_5min,BPV_c_5min,MedRV_5min,RQ_5min,TQ_5min,RSkew_5min,RKurt_5min,NBars_5min,NZeroRet_5min,MaxAbsRet_5min,RV_ss5min,Jump_BPV_5min,Jump_MedRV_5min,ContVar_MedRV_5min,JumpShare_5min,RSV_Ratio_5min,RV_SE_5min,RV_RelSE_5min,NoiseRatio_1v5
2013-01-22,NKY,0.00020244035354,0.000102413112409,0.000100027241131,2.38587127804e-06,0.000172050618597,0.000172627969666,0.000168776565403,9.58272606787e-08,7.71847567598e-08,0.222046087012,7.01481390396,299,0,0.00336878287325,0.000271044626487,0.000127750304294,0.000143294322193,-1.55440178987e-05,0.000296047316349,0.000301151580424,0.000304684536849,9.29741072116e-08,1.44083655988e-07,-0.119138317192,3.79665966089,59,0,0.00621965903701,0.000271044626487,0,0,0.000271044626487,0,0.528674277923,5.61396887348e-05,0.207123415293,0.746889381886
2013-01-23,NKY,5.93267813399e-05,2.8416581593e-05,3.09101997469e-05,-2.4936181539e-06,4.95264344919e-05,4.96926305808e-05,4.18346978073e-05,8.27352469151e-09,2.64158990292e-09,0.190900036437,7.05196661682,299,2,0.00237065042996,6.67767682006e-05,2.93871891955e-05,3.73895790051e-05,-8.00238980959e-06,6.40186572523e-05,6.51224272049e-05,6.6827370627e-05,4.53697027915e-09,5.70391702501e-09,-0.147484878807,3.05236451257,59,0,0.002849567694,6.67767682006e-05,1.65434099571e-06,0,6.67767682006e-05,0,0.559918966021,1.2401435509e-05,0.185714820336,0.888434450162
2013-01-24,NKY,8.78786148474e-05,5.87199811811e-05,2.91586336662e-05,2.95613475149e-05,6.73554365603e-05,6.75829887109e-05,6.58477385527e-05,1.88343995439e-08,1.03705080565e-08,1.16841552054,7.31655477061,297,1,0.00255972112811,7.70125677478e-05,5.69615958913e-05,2.00509718565e-05,3.69106240348e-05,7.05622879344e-05,7.17788791057e-05,8.27732628975e-05,6.13030718113e-09,4.80655168027e-09,1.07602595582,3.10084661364,59,0,0.00334074609777,7.70125677478e-05,5.23368864211e-06,0,7.70125677478e-05,0,0.260359736636,1.44155132787e-05,0.187183906475,1.14109446571
2013-01-25,NKY,3.77529777262e-05,2.61812215227e-05,1.15717562035e-05,1.46094653191e-05,3.04235603914e-05,3.052634269e-05,3.03355415911e-05,5.56727619258e-09,1.38990532171e-09,1.79551033046,11.7182186771,297,0,0.00252425845186,3.23299477957e-05,2.17095638904e-05,1.06203839053e-05,1.10891799851e-05,3.42627280651e-05,3.48534647559e-05,2.76275554168e-05,1.22573580564e-09,1.11822095071e-09,0.712215175149,3.51809952093,59,0,0.00223048419611,3.23299477957e-05,0,4.70239237894e-06,2.76275554168e-05,0.145450045532,0.328499877959,6.44595736046e-06,0.199380382585,1.1677401388
2013-01-28,NKY,7.01387709699e-05,1.97389158544e-05,5.03998551154e-05,-3.0660939261e-05,5.99222174688e-05,6.01232987354e-05,5.56286333425e-05,1.44662682596e-08,1.08951628663e-08,-1.67798545532,8.82188649958,299,0,0.00292434223791,7.11299372055e-05,1.65909720341e-05,5.45389651714e-05,-3.79479931374e-05,7.02196576782e-05,7.14303414313e-05,6.84665128833e-05,7.20440079405e-09,4.27403888042e-09,-1.38511272377,4.27183303141,59,0,0.00352090416545,7.11299372055e-05,0,2.66342432222e-06,6.84665128833e-05,0.0374444914034,0.766751206512,1.56274430432e-05,0.21970275326,0.986065413881
2013-01-29,NKY,6.49196105635e-05,4.08412908435e-05,2.407831972e-05,1.67629711235e-05,5.51299788986e-05,5.53156017231e-05,4.94215594765e-05,1.80273334446e-08,3.88442086787e-09,1.50907879102,12.8321945282,298,0,0.00342266650311,9.05015505581e-05,6.29088591865e-05,2.75926913716e-05,3.53161678148e-05,7.64865219074e-05,7.78052550438e-05,7.17843092804e-05,1.0735447724e-08,6.13045529405e-09,1.06845362874,3.93214365892,59,0,0.00367786596482,9.05015505581e-05,1.26962955143e-05,1.87172412778e-05,7.17843092804e-05,0.206816802169,0.304886393675,1.90765165104e-05,0.210786626226,0.717331472922
2013-01-30,NKY,5.43428246462e-05,3.80377838476e-05,1.63050407986e-05,2.17327430489e-05,3.93146529134e-05,3.94465812789e-05,3.75436012081e-05,8.81991048557e-09,3.02140950652e-09,1.63148356282,8.95985569461,299,0,0.00221054150215,5.63064054575e-05,4.27843207853e-05,1.35220846722e-05,2.92622361131e-05,5.66697527679e-05,5.76468174708e-05,5.7298424005e-05,4.89156003377e-09,6.36974684469e-09,1.22556194022,4.62863607695,59,0,0.00307446838301,5.63064054575e-05,0,0,5.63064054575e-05,0,0.240151800889,1.28769404117e-05,0.228694058998,0.9651268662
2013-01-31,NKY,5.96250269264e-05,3.24989409731e-05,2.71260859533e-05,5.37285501976e-06,4.32683205044e-05,4.34135162108e-05,4.28011361112e-05,7.52109179266e-09,2.23426148971e-09,0.353120817555,6.34665611829,299,0,0.00200672102105,8.71089661435e-05,5.28959835534e-05,3.42129825902e-05,1.86830009632e-05,7.66232654695e-05,7.79443562535e-05,8.41506809203e-05,9.11184630782e-09,4.00730699624e-09,0.464440525323,3.60248284867,59,0,0.00353616159661,8.71089661435e-05,9.16460989004e-06,2.95828522325e-06,8.41506809203e-05,0.0339607431269,0.392760746739,1.7574872575e-05,0.201757331686,0.684487826755
2013-02-01,NKY,5.34014687597e-05,2.78403401058e-05,2.55611286539e-05,2.27921145194e-06,4.12105734103e-05,4.13488639251e-05,3.52448821945e-05,5.74739004708e-09,2.43462091247e-09,0.240020028334,6.04624194942,299,0,0.00175820260871,6.58847537197e-05,3.61649489666e-05,2.97198047531e-05,6.44514421344e-06,6.97759709193e-05,7.09790049006e-05,6.80697443647e-05,5.35029980232e-09,5.34778733516e-09,0.497255191641,3.69768166,59,0,0.00337354279078,6.58847537197e-05,0,0,6.58847537197e-05,0,0.451087741476,1.34672229875e-05,0.204405757434,0.810528471988
2013-02-04,NKY,4.77717823713e-05,2.24018585168e-05,2.53699238545e-05,-2.96806533763e-06,3.59662533017e-05,3.60869454269e-05,3.61531971717e-05,3.9674259688e-09,1.74490882191e-09,-0.351649838921,5.21539487693,299,0,0.00175838459059,4.76294424558e-05,2.47944123533e-05,2.28350301025e-05,1.95938225084e-06,4.53599595327e-05,4.61420278005e-05,4.06106751561e-05,2.58935560907e-09,1.50467814873e-09,0.000228473082672,3.42422234987,59,0,0.0025575586994,4.76294424558e-05,1.48741465529e-06,7.01876729975e-06,4.06106751561e-05,0.147361945424,0.479430976411,9.36881883746e-06,0.196702257142,1.00298848586
